STT,Tên,Nhà cung cấp,Danh mục,Số lượng,Giá,Mô tả chi tiết dài,Cấu hình chi tiết,Ảnh,list ảnh,sản phẩm cha,id discount,show_price,mô tả tóm tắt,,Quy tắc
1,Imac 2014,1,1,10001,1000000,Đang được cập nhật,Đang được cập nhật,iMac_21.5FHD_2014_1.jpg,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,
2,Fujisu lifebook uh75/k,8,2,10002,1000000,Đang được cập nhật,Đang được cập nhật,fujiUH75.jpg,"b0dff4f2e44e81797f99043d9d81644b.jpg, fujiUH75_1.jpg, 2-Fujitsu-Lifebook-UH75.jpg",,1,0,Đang được cập nhật,,
3,HP Gaming 15-CX0054TX,2,2,10003,1000000,Đang được cập nhật,Đang được cập nhật,GS.005590_FEATURE_68641.jpg,"5045_4835_15_dk0003tx_4.jpg, hp-pavilion-gaming-15-dk1159tx-i7-10750h-8gb-32gb-600x600.jpg, ",,1,0,Đang được cập nhật,,
4,Nec Lavie,10,2,10004,1000000,Đang được cập nhật,Đang được cập nhật,csm_PM55GNAR_7_2116b6ffd0.png,"4232647_nec_lavie_nm_2018_678_678x452.jpg, cvf1305607823.jpg",,1,0,Đang được cập nhật,,
5,Toshiba T75 (trắng),9,2,10005,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
6,Fujisu lifebook nh77/cd,8,2,10006,1000000,Đang được cập nhật,Đang được cập nhật,i-img1200x1200-1657497756qswr2j710103.jpg,"i-img1200x1200-1657497756jhpidd710103.jpg, FUJITSU E734 2.jpg",,1,0,Đang được cập nhật,,"ô mô tả chi tiết dài:  vì dữ liệu là html nên mọi người copy đường dẫn vào ô này, sau này sẽ lại phải nhập tay"
7,Imac 2010 21inch,1,1,10007,1000000,Đang được cập nhật,Đang được cập nhật,DzmztgWMgqpCPNNhg0UNTKvXArwOJXuN5Thj5A4R.png,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,"ô cấu hình chi tiết: nhập đúng theo cú pháp tên cấu hình : cấu hình ,
vd: cpu: core i5, ram: 4GB. Và cùng 1 loại sp phải theo đúng thứ tự để sau này thêm chức năng. VD: cấu hình ram, đến cpu thì cái laptop nào cũng phải theo thứ tự này"
8,Imac 2010 27inch,1,1,10008,1000000,Đang được cập nhật,Đang được cập nhật,DzmztgWMgqpCPNNhg0UNTKvXArwOJXuN5Thj5A4R.png,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,ô ảnh điền tên ảnh là 1 ảnh
9,Nec Lavie PC-GN16CJSAA,10,2,10009,1000000,Đang được cập nhật,Đang được cập nhật,csm_PM55GNAR_7_2116b6ffd0.png,"4232647_nec_lavie_nm_2018_678_678x452.jpg, cvf1305607823.jpg",,1,0,Đang được cập nhật,,"ô list ảnh điền nhiều ảnh, mỗi ảnh cách nhau bởi 1 dấu phẩy. Lưu ý là ảnh phải điển cả đuôi"
10,Fujitsu MV Biblo,8,2,10010,1000000,Đang được cập nhật,Đang được cập nhật,i-img1200x1200-1657497756qswr2j710103.jpg,"i-img1200x1200-1657497756jhpidd710103.jpg, FUJITSU E734 2.jpg",,1,0,Đang được cập nhật,,"Sản phẩm cha đại diện cho 1 sp, các sp con là option của sp đấy, sp con mang id sp cha, sp cha thì điền là 0"
11,Toshiba T75/AWS,9,2,10011,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,Nhập sản phẩm qua link: laptop88
12,Toshiba core2,9,2,10012,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
13,Case Mac Pro,1,2,10013,1000000,Đang được cập nhật,Đang được cập nhật,1-1571021668-width660height440.jpg,"33159-57832-header-l.jpg,20170805_d1772ba8af309bc1566e576f125ddb09_1501945880.jpeg",,1,0,Đang được cập nhật,,
14,Dell 5458,3,2,10014,1000000,Đang được cập nhật,Đang được cập nhật,dell-inspiron-5458-i3-5005u-4gb-500gb-win10-office-3-1.jpg,"3813_1a.png,dell-inspiron-5458-i5-5200u-4gb-1tb-win81-slider01.jpg",,1,0,Đang được cập nhật,,
15,Nec Lavie PC-GN16,10,2,10015,1000000,Đang được cập nhật,Đang được cập nhật,csm_PM55GNAR_7_2116b6ffd0.png,"4232647_nec_lavie_nm_2018_678_678x452.jpg, cvf1305607823.jpg",,1,0,Đang được cập nhật,,
16,Imac late 2013,1,2,10016,1000000,Đang được cập nhật,Đang được cập nhật,iMac_21.5FHD_2014_1.jpg,"imac-21-5inch-2014-mf883.jpg,imac-2014-21-5inch-mf883-1.jpg",,1,0,Đang được cập nhật,,
17,HP Envy 17,2,2,10017,1000000,Đang được cập nhật,Đang được cập nhật,hp-envy-17-ch0011nr-gen-11th-1645172128.jpg,"c06074418.png,91AYRDxD5eL__SL1500_.jpg",,1,0,Đang được cập nhật,,
18,Nec Lavie đen,10,2,10018,1000000,Đang được cập nhật,Đang được cập nhật,nec-lavie-2018-laptop-125-chi-900g-pin-12-tieng-khong-quat-vien-mong_5.jpg,"laviehz2017-11.jpeg,3381475_NEC_Lavie_L_11.jpg",,1,0,Đang được cập nhật,,
19,Nec Lavie LS150,10,2,10019,1000000,Đang được cập nhật,Đang được cập nhật,nec-lavie-2018-laptop-125-chi-900g-pin-12-tieng-khong-quat-vien-mong_5.jpg,"laviehz2017-11.jpeg,3381475_NEC_Lavie_L_11.jpg",,1,0,Đang được cập nhật,,
20,Nec Lavie LX850/L,10,2,10020,1000000,Đang được cập nhật,Đang được cập nhật,nec-lavie-2018-laptop-125-chi-900g-pin-12-tieng-khong-quat-vien-mong_5.jpg,"laviehz2017-11.jpeg,3381475_NEC_Lavie_L_11.jpg",,1,0,Đang được cập nhật,,
21,Toshiba B65,9,2,10021,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
22,HP Probook 450 G7,2,2,10022,1000000,Đang được cập nhật,Đang được cập nhật,40899_hp_probook_450_g7_ha3.jpg,"38142_laptop_hp_probook_450_g7_9gq43pa_3.png,37770_laptop_hp_probook_450_g6_8az17pa_3.jpg",,1,0,Đang được cập nhật,,
23,HP Probook 450 G3,2,2,10023,1000000,Đang được cập nhật,Đang được cập nhật,40899_hp_probook_450_g7_ha3.jpg,"38142_laptop_hp_probook_450_g7_9gq43pa_3.png,37770_laptop_hp_probook_450_g6_8az17pa_3.jpg",,1,0,Đang được cập nhật,,
24,Nec Versapro PK-VK22,10,2,10024,1000000,Đang được cập nhật,Đang được cập nhật,Ban-Laptop-Nec-Versapro-VK-22-gia-si-sieu-re-Uy-Tin-tphcm-Sinh-Vien-Van-Phong-Doanh-Nhan-Game-Do-Hoa-Core-i3-i5-i7-Ram-4Gb-8Gb-SSD-128Gb-256Gb-512Gb-4.jpg,"69a444ccd22b20a7b6a74fa3a8e6eae6.jpg, Ban-Laptop-Nec-Versapro-VK-22-gia-si-sieu-re-Uy-Tin-tphcm-Sinh-Vien-Van-Phong-Doanh-Nhan-Game-Do-Hoa-Core-i3-i5-i7-Ram-4Gb-8Gb-SSD-128Gb-256Gb-512Gb-8.jpg",,1,0,Đang được cập nhật,,
25,Tosshiba B65/y,9,2,10025,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
26,Tosshiba B65/r,9,2,10026,1000000,Đang được cập nhật,Đang được cập nhật,Asus-FX516PC-HN011T-0-1.jpg,"2022-07-11-20-05-img-6270-319.jpg, dsc04397-fileminimizer-6869.jpg",,1,0,Đang được cập nhật,,
27,Dell Inspiron 15 7567 Gaming,3,2,10027,1000000,Đang được cập nhật,Đang được cập nhật,Dell-Inspiron-15-7567-i7-7700HQ-GTX-1050Ti-02.jpg,"Dell-7566-7567-3.jpg, dell-7566-500-500_7cd79a4113db41a98bba99c610a76175_master.webp",,1,0,Đang được cập nhật,,
28,MSI GP75 Leopard 9SD,5,2,10028,1000000,Đang được cập nhật,Đang được cập nhật,4907_4325_9s7_17e221_485_image_main_600x600.jpg,"4907_4325_20190507181530_934_.jpg,04qrt21wbhzjj.jpg",,1,0,Đang được cập nhật,,
29,Fujisu LIFEBOOK AH53/E3,8,2,10029,1000000,Đang được cập nhật,Đang được cập nhật,FMVA53E3Wb.jpg,"gxcjx3ezbx98dep.jpg,k1051259028.1.jpg",,1,0,Đang được cập nhật,,
30,MouseComputer BC-GTUNEI77G16N1,,2,10030,1000000,Đang được cập nhật,Đang được cập nhật,00000003667562_A01.jpg,"2133015933716_1.jpg,2133015933716.jpg",,1,0,Đang được cập nhật,,
31,Lenovo Legion Y7000,4,3,10031,1000000,Đang được cập nhật,Đang được cập nhật,7-2-52ba85a2-57d1-4a45-8f34-884e492210c1.webp,"4662_lenovo_legion_y7000__2_.png, lenovo-legion-y7000-15irh.webp",,1,0,Đang được cập nhật,,
32,Dell G3,3,2,10032,1000000,Đang được cập nhật,Đang được cập nhật,dell-g3-15-3500-i5-70223130-082721-042709-600x600.jpg,"dell-g3-15-1.jpg,dell_g3_b4c0873094074cafadbdf7e0e7f825a8_master.webp",,1,0,Đang được cập nhật,,
33,THIRDWAVE GALLERIA QSF960HE,,3,10033,1000000,Đang được cập nhật,Đang được cập nhật,i-img900x613-1648270915saiocw111921.jpg,"i-img900x613-16482709155sbclh111921.jpg,i-img1200x900-1652427169xrnp2a185745.jpg",,1,0,Đang được cập nhật,,
34,Acer Nitro 5 AN515-52,6,3,10034,1000000,Đang được cập nhật,Đang được cập nhật,acer-nitro-5-an515-52-70ae-q3lsv007-600x600.jpg,"3997_an515_52_53pc__4_.png, acer-nitro-an515-52-75ft-i7-8750hq-8g-128g-ssd-1tb-gtx1050ti-4g-15-6-fhd-ips-w10_38505_2.png",,1,0,Đang được cập nhật,,
35,GR1650RGF-T THIRDWAVE Thirdwave,,3,10035,1000000,Đang được cập nhật,Đang được cập nhật,c73dbf65b9e81ff8.png,"d_f14tg_blue-2b.png,07afbaffe5d4fdff.png",,1,0,Đang được cập nhật,,
36,Dell XPS 9310,3,2,10,1000000,Đang được cập nhật,Đang được cập nhật,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,